id,trigger,conditions,script,text,options,notes
sotfSierraThoughtsHRepDontMention,DialogOptionSelected,$option == sotfSierraHRep_dontMention,"SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""I think I will, actually,\"""" ""\""Kindred.\""""
FireBest sotfSierraHRepGiveSoulbond","""I think I will, actually,"" she teases. ""Kindred.""",,
sotfSierraThoughtsHRepLikeYouToo,DialogOptionSelected,$option == sotfSierraHRep_likeYouToo,"SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""Lovely. Otherwise, proclaiming our ethereal spiritual connection would've been really, really awkward.\""""
FireBest sotfSierraHRepGiveSoulbond","She sighs in relief. ""Lovely. Otherwise, proclaiming our ethereal spiritual connection would've been really, really awkward.""",,
sotfSierraThoughtsHRepImplying,DialogOptionSelected,$option == sotfSierraHRep_implication,"SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""Uhm,\"""" ""\""Maybe? I don't know. Don't take it any way you don't want to.\""""
FireBest sotfSierraHRepGiveSoulbond","""Uhm,"" she quickly stammers. ""Maybe? I don't know. Don't take it any way you don't want to.""",,
sotfSierraThoughtsHRepWoundUp,DialogOptionSelected,$option == sotfSierraHRep_woundUp,"SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""Oh, fine,\"""" ""\""You're just a kind presence is all, and I wanted to make it clear.\""""
FireBest sotfSierraHRepGiveSoulbond","""Oh, fine,"" she laughs. ""You're just a kind presence is all, and I wanted to make it clear.""",,
sotfSierraThoughtsHRepSoulbond,sotfSierraHRepGiveSoulbond,,"SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""Anyway, um,\"""" ""\""I prepared you a gift. To symbolize our pact's everlasting strength and the unity of our souls.\"""" ""\""It's a spatial shunt!\"""" ""\""Been working on the prototype for half a century now. If we integrate it into my Concord phase system, it should allow me to drag myself through phase-space to reach the harmonized anchor in your ship.\"""" ""\""Or!\"""" ""\""It should be able to remotely phase a cruiser-sized vessel and drag it to me. Whether to bail each other out of sticky situations, or to ferry ourselves across the battlefield, it's up to you. I entrust you with its invocation.\""""
SotfSierraCMD addSoulbond","""Anyway, um,"" she continues, a little flustered. ""I prepared you a gift. To symbolize our pact's everlasting strength and the unity of our souls.""

She pretends to clear her throat. ""It's a spatial shunt!"" she begins giddily and unashamedly. ""Been working on the prototype for half a century now. If we integrate it into my Concord phase system, it should allow me to drag myself through phase-space to reach the harmonized anchor in your ship.""

""Or!"" she interrupts herself, ""It should be able to remotely phase a cruiser-sized vessel and drag it to me. Whether to bail each other out of sticky situations, or to ferry ourselves across the battlefield, it's up to you. I entrust you with its invocation.""","SierraBack:""We'll see what it can do.""",
,,,,,,
SierraThoughtsSOE,SierrasThoughts,"$player.bladeSkill
!$global.sierraMentionedSOE","$global.sierraMentionedSOE = true
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Okay, okay,\"""" ""\""So I was browsing the local comm-net last time we docked, and guess who I saw in a vid?\"""" ""\""You!\"""" ""\""On Eventide. Masterfully defending your honor with blade in hand!\"""" ""\""Every time I think I've got a good grasp of who you are, you always surprise me. Consider me impressed.\""""
AddTextSmall ""Acquired phase-tech AI's admiration of your swordsmanship"" highlight
AdjustRepPerson sotf_sierra COOPERATIVE 3","""Okay, okay,"" Sierra begins, a little giddy. ""So I was browsing the local comm-net last time we docked, and guess who I saw in a vid?""

She gives you a moment to explicitly provide no answer.

""You!"" she laughs. ""On Eventide. Masterfully defending your honor with blade in hand!"" Her avatar blinks. ""Every time I think I've got a good grasp of who you are, you always surprise me. Consider me impressed.""",,
SierraThoughtsAndradaBook,SierrasThoughts,"$player.gotAndradaBook
!$global.sierraMentionedAndradaBook","$global.sierraMentionedAndradaBook = true
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""So,\"""" ""\""I might have heard from an anonymous infosec specialist...\"""" ""\""That you have a copy of Quotations from the Supreme Executor. And, um,\"""" ""\""I kinda wanted to know if there's any crazy lobster-talk in it.\"""" ""\""Don't tell me it wouldn't be in character for him,\""""","""So,"" Sierra begins slowly. ""I might have heard from an anonymous infosec specialist..."" She pauses as if to carefully consider her words. ""That you have a copy of Quotations from the Supreme Executor. And, um,"" she hesitates. ""I kinda wanted to know if there's any crazy lobster-talk in it.""

She soaks in your unimpressed look. ""Don't tell me it wouldn't be in character for him,"" she laughs.",,
SierraThoughtsNoSupplies,SierrasThoughts,"$player.supplies == 0
!$global.sierraMentionedNoSupplies
!GateCMD isPopulated","$global.sierraMentionedNoSupplies = true 180
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Having your ship fall apart on you is a rough affair,\"""" ""\""Even worse when you pretty much are the ship in question.\"""" ""\""Beats being tied down in a research station in the middle of nowhere, though,\"""" ""\""Maybe we can just skip over to the Core Worlds before things get too bad.\""""","She speaks grimly. ""Having your ship fall apart on you is a rough affair,"" she says sadly. ""Even worse when you pretty much are the ship in question.""

""Beats being tied down in a research station in the middle of nowhere, though,"" she adds hopefully. ""Maybe we can just skip over to the Core Worlds before things get too bad.""",,
SierraThoughtsNoFuel,SierrasThoughts,"$player.fuel == 0
!$global.sierraMentionedNoFuel
!GateCMD isPopulated","$global.sierraMentionedNoFuel = true 180
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Looks like we're dead in the metaphorical waters. Well, space is kind of a more literal water considering we're all in ships and use naval terminology and...\"""" ""\""Oh, right, right. Well, you know what time it is!\"""" ""\""Weeeeeooow...\""""","Sierra hums to herself. ""Looks like we're dead in the metaphorical waters. Well, space is kind of a more literal water considering we're all in ships and use naval terminology and..."" She catches her own rambling. ""Oh, right, right. Well, you know what time it is!"" she announces proudly. You hear a deep breath as she spins. ""Weeeeeooow..."" she gleefully sounds, making a terrible impression of a fading distress call.",,
SierraThoughtsTrulyScrewed,SierrasThoughts,"$player.supplies == 0 score:2
$player.fuel == 0
!$global.sierraMentionedTrulyScrewed
!GateCMD isPopulated","$global.sierraMentionedTrulyScrewed = true 180
$global.sierraMentionedNoSupplies = true 180
$global.sierraMentionedNoFuel = true 180
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Wow!\"""" ""\""We are kind of completely doomed, aren't we? Probably should have brought more... stuff.\"""" ""\""I can't wait to see how you get us out of this one! Is it time travel? I wonder if it's time travel.\""""","""Wow!"" Sierra remarks a little more chippily than expected. ""We are kind of completely doomed, aren't we? Probably should have brought more... stuff.""

She spins passively. ""I can't wait to see how you get us out of this one! Is it time travel? I wonder if it's time travel.""",,
,,,,,,
SierraThoughtsAtrocity,SierrasThoughts,"$global.sierraWitnessedAtrocity score:3
!$global.sierraMentionedAtrocity","$global.sierraMentionedAtrocity = true
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""I hope,\"""" ""\""What we did to $global.sierraLatestSatbombMkt...\"""" ""\""I hope it was worth it.\""""
AdjustRepPerson sotf_sierra INHOSPITABLE -10","She briefly pauses in thought, a little longer than you'd expect an artificial intelligence to take. ""I hope,"" she begins hesitantly, ""What we did to $global.sierraLatestSatbombMkt..."" 

Another pause. ""I hope it was worth it."" A rushed sigh of simulated air.","SierraAtrocityHadTo:""There was no other choice.""
SierraAtrocityMistake:""I made a mistake. I'm sorry.""",
SierraThoughtsAtrocityHT,DialogOptionSelected,$option == SierraAtrocityHadTo,"$player.ethosRuthless++
SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""Right. If you insist.\"""" ""\""Just this once, though. Try not to lose yourself, okay?\""""
AdjustRepPerson sotf_sierra INHOSPITABLE -2","Sierra's reply comes quickly. ""Right. If you insist.""

Her avatar gives a single spin. ""Just this once, though. Try not to lose yourself, okay?""","SierraBack:""Of course.""",
SierraThoughtsAtrocityMS,DialogOptionSelected,$option == SierraAtrocityMistake,"$player.ethosHumanitarian++
$global.sierraAtrocityAdmitted = true
SotfGuiltCMD removeHalfGuilt
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Apologies don't bring back lost lives, but it's something,\"""" ""\""It's a good sign.\"""" ""\""I just hope you don't end up like the others whose hearts the Collapse turned blacker than space.\"""" ""\""You're better than that, I'm sure. I trust you won't let this happen again.\""""
AdjustRepPerson sotf_sierra COOPERATIVE 2","Sierra's avatar slowly spins. ""Apologies don't bring back lost lives, but it's something,"" she insists hopefully. ""It's a good sign.""

The star stops dead. ""I just hope you don't end up like the others whose hearts the Collapse turned blacker than space."" It resumes its carefree rotation. ""You're better than that, I'm sure. I trust you won't let this happen again.""","SierraBack:""Right.""",
,,,,,,
SierraThoughtsZigFought,SierrasThoughts,"$global.sierraWitnessedZigFight score:10
!$global.sierraMentionedZig","SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""I, um, would like to get your thoughts on something, too. Ask a question, I mean.\"""" ""\""When we fought the Ziggurat, did you hear, um...\"""" ""\""Music? A far-away chorus?\""""
$global.sierraMentionedZig = true","The AI's avatar jitters heavily. ""I, um, would like to get your thoughts on something, too. Ask a question, I mean.""

She barely gives you the chance to nod. ""When we fought the Ziggurat, did you hear, um..."" She sighs. ""Music? A far-away chorus?""","SierraIHeardMusic:""A chorus of voices, brought from a wind beyond?""
SierraLieAboutMusic:""I didn't hear anything.""",
SierraThoughtsZigContYes,DialogOptionSelected,$option == SierraIHeardMusic,"SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""I hoped so. I asked Courser about it once. They offered a custom audio-input recalibration package. I don't think...\"""" ""\""You're human, I'm not, how...?\"""" ""\""So lovely, yet deeply unsettling, there in the back of my conciousness, lost in the wind.\"""" ""\""Thanks for the chat. I hope we're not wrapped up in something beyond us.\""""
AdjustRepPerson sotf_sierra COOPERATIVE 4
FireBest sotfSierraSetKindred","She breathes a false sigh of true relief, her feed stabilizing. ""I hoped so. I asked Courser about it once. They offered a custom audio-input recalibration package. I don't think..."" She trails off before picking back up. ""You're human, I'm not, how...?"" 

She pauses. ""So lovely, yet deeply unsettling, there in the back of my conciousness, lost in the wind."" Sierra sighs. ""Thanks for the chat. I hope we're not wrapped up in something beyond us.""","SierraBack:""You're welcome.""",
SierraThoughtsZigContYesHuman,DialogOptionSelected,"$option == SierraIHeardMusic
$global.sotf_sierraHuman score:2","SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""I hoped so. I asked Courser about it once. They offered a custom audio-input recalibration package. I don't think...\"""" ""\""Maybe it's a uniquely human thing.\"""" ""\""So lovely, yet deeply unsettling, there in the back of my simulated conciousness, lost in the wind.\"""" ""\""Thanks for the chat. I hope we're not wrapped up in something beyond us.\""""
AdjustRepPerson sotf_sierra COOPERATIVE 4
FireBest sotfSierraSetKindred","She breathes a false sigh of true relief, her feed stabilizing. ""I hoped so. I asked Courser about it once. They offered a custom audio-input recalibration package. I don't think..."" She trails off before picking back up. ""Maybe it's a uniquely human thing."" 

She pauses. ""So lovely, yet deeply unsettling, there in the back of my simulated conciousness, lost in the wind."" Sierra sighs. ""Thanks for the chat. I hope we're not wrapped up in something beyond us.""","SierraBack:""You're welcome.""",
SierraThoughtsZigContYesSemiHuman,DialogOptionSelected,"$option == SierraIHeardMusic
$global.sotf_sierraSemiHuman score:2","SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""I hoped so. I asked Courser about it once. They offered a custom audio-input recalibration package. I don't think...\"""" ""\""Maybe it's more of a human thing.\"""" ""\""So lovely, yet deeply unsettling, there in the back of my simulated conciousness, lost in the wind.\"""" ""\""Thanks for the chat. I hope we're not wrapped up in something beyond us.\""""
AdjustRepPerson sotf_sierra COOPERATIVE 4
FireBest sotfSierraSetKindred","She breathes a false sigh of true relief, her feed stabilizing. ""I hoped so. I asked Courser about it once. They offered a custom audio-input recalibration package. I don't think..."" She trails off before picking back up. ""Maybe it's more of a human thing."" 

She pauses. ""So lovely, yet deeply unsettling, there in the back of my simulated conciousness, lost in the wind."" Sierra sighs. ""Thanks for the chat. I hope we're not wrapped up in something beyond us.""","SierraBack:""You're welcome.""",
SierraThoughtsZigContNo,DialogOptionSelected,$option == SierraLieAboutMusic,"$player.ethosLiar++
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Oh,\"""" ""\""Right, silly me.\"""" ""\""You know me,\"""" ""\""Spend too long in phase-space and all those rumbles and wooshes start sounding like... music.\""""
SotfGuiltCMD addHalfGuilt
AdjustRepPerson sotf_sierra INHOSPITABLE -2","Sierra's feed continues jittering a moment, before calming down. You debate interrupting her for a moment to call a technician to get this thing sorted out. ""Oh,"" she remarks disappointedly. ""Right, silly me.""

""You know me,"" she laughs uneasily. ""Spend too long in phase-space and all those rumbles and wooshes start sounding like... music.""","SierraBack:""Right.""",
,,,,,,
SierraThoughtsOmega,SierrasThoughts,"$global.sierraWitnessedOmega score:20
!$global.sierraMentionedOmega","SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""I certainly do have thoughts, although I'm not so sure how well they'll come out.\"""" ""\""So. That was Omega, right? Those things we... killed.\"""" ""\""I think. I hope we killed a monster and didn't just cut off one of its infinite limbs.\""""
$global.sierraMentionedOmega = true","Sierra remains silent for a moment. ""I certainly do have thoughts, although I'm not so sure how well they'll come out."" A deep, simulated inhale comes through the feed.

""So. That was Omega, right? Those things we... killed."" Her voice grows doubtful. ""I think. I hope we killed a monster and didn't just cut off one of its infinite limbs.""","SierraOmegaConcerned:""You seem concerned?""
SierraOmegaKilledIt:""We handled them. Like everything else.""",
SierraThoughtsOmegaContC,DialogOptionSelected,$option == SierraOmegaConcerned,"SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Yeah, I am. Those things don't really feel like they consider themselves natives to our world anymore. Fractal beings beyond our comprehension and us, ants below their notice.\"""" ""\""I was hoping Omega was a dreadnought with an oversized Alpha stuck inside it,\"""" ""\""This has greater implications. Two of them were a nightmare - what happens if hundreds flood the Sector?\"""" ""\""If we can kill two, we can take down more. There's no use in me worrying myself and especially you.\""""
AdjustRepPerson sotf_sierra COOPERATIVE 3","Her avatar slowly spins. ""Yeah, I am. Those things don't really feel like they consider themselves natives to our world anymore. Fractal beings beyond our comprehension and us, ants below their notice.""

""I was hoping Omega was a dreadnought with an oversized Alpha stuck inside it,"" she sighs. ""This has greater implications. Two of them were a nightmare - what happens if hundreds flood the Sector?""

She takes a moment to think, and the rotation stops. ""If we can kill two, we can take down more. There's no use in me worrying myself and especially you.""","SierraBack:""At ease.""",
SierraThoughtsOmegaContK,DialogOptionSelected,$option == SierraOmegaKilledIt,"$player.ethosCocky++
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Yeah. I guess we did get them anyway. It was kind of a nightmare, though, and I don't fancy our odds against a whole fleet of them.\"""" ""\""Wonder how many of them there are. If they want us dead, we might be going down fighting. Then again, maybe we're just too insignificant for Omega.\"""" ""\""Time will tell how that dance will go. I suppose there's no point in thinking about it until then.\""""
AdjustRepPerson sotf_sierra COOPERATIVE 3","Her avatar stops mid-spin. ""Yeah. I guess we did get them anyway. It was kind of a nightmare, though, and I don't fancy our odds against a whole fleet of them.""

""Wonder how many of them there are. If they want us dead, we might be going down fighting. Then again, maybe we're just too insignificant for Omega."" She laughs uneasily.

""Time will tell how that dance will go. I suppose there's no point in thinking about it until then.""","SierraBack:""At ease.""",
,,,,,,
SierraThoughtsWS,SierraConvPicker,$global.sierraWantsWSConv score:30,"SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Hi, $global.sotf_kindred,\"""" ""\""I hope you're doing okay. I heard that our misadventure had had a rough effect on you. I don't really know what that's like, but...\"""" ""\""Did you hear that voice, right before we were attacked by those... ghosts?\"""" ""\""I feel a bit silly saying that.\""""
$global.sierraWantsWSConv = false","You send a message to Sierra's ship, requesting a comm-link. She accepts, and her feed quickly snaps into her digitized avatar, which pulses gently as she speaks.

""Hi, $global.sotf_kindred,"" she says. ""I hope you're doing okay. I heard that our misadventure had had a rough effect on you. I don't really know what that's like, but...""

""Did you hear that voice, right before we were attacked by those... ghosts?"" She pauses. ""I feel a bit silly saying that.""","SierraWSHeardVoice:""Yes. Almost sounded like you.""
SierraWSGaslight:""No.""",
SierraThoughtsWSYes,DialogOptionSelected,$option == SierraWSHeardVoice,"SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""She did, didn't she? Consider me severely creeped out. What did she want from us?\"""" ""\""Besides the obvious.\"""" ""\""I'm going to think on that a bit. Did you need anything else?\""""
AdjustRepPerson sotf_sierra COOPERATIVE 5
FireBest sotfSierraSetKindred","She sighs. ""She did, didn't she? Consider me severely creeped out. What did she want from us?"" she wonders aloud. ""Besides the obvious.""

Her avatar spins. ""I'm going to think on that a bit. Did you need anything else?""","SierraBack:""One more thing...""
100:defaultLeave:""That's all.""",
SierraThoughtsWSGL,DialogOptionSelected,$option == SierraWSGaslight,"$player.ethosLiar++
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Oh,\"""" ""\""Right. Just me being me, I guess. Nevermind.\"""" ""\""Anything else you needed?\""""
$global.sotf_WSPlayerGaslitSierra = true
SotfGuiltCMD addHalfGuilt
AdjustRepPerson sotf_sierra INHOSPITABLE -2","""Oh,"" she replies awkwardly. ""Right. Just me being me, I guess. Nevermind.""

She sighs. ""Anything else you needed?""","SierraBack:""One more thing...""
100:defaultLeave:""That's all.""",
,,,,,,
SierraFlagGateUsed,DialogOptionSelected,"$option == gateUse
$global.gatesActive
SotfSierraCMD checkSierra score:1000
!$global.sotf_sierraSawGateUsed","$global.sotf_sierraSawGateUsed = true
$option = gateUse
FireBest DialogOptionSelected",,,
SierraThoughtsGateUsed,SierrasThoughts,"$global.sotf_sierraSawGateUsed score:15
!$global.sotf_sierraMentionedGates","SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""The Gates, the Gates! The Gates are alive and singing!\"""" ""\""To see history in the making is such a gift - a glimpse of an end to the Collapse.\"""" ""\""Singing, singing,\"""" ""\""Why did I-\"""" ""\""The Gates are musical too?\""""
$global.sotf_sierraMentionedGates = true
AdjustRepPerson sotf_sierra COOPERATIVE 3","Sierra spins. ""The Gates, the Gates! The Gates are alive and singing!"" she yips. ""To see history in the making is such a gift - a glimpse of an end to the Collapse.""

""Singing, singing,"" she repeats, happily at first - then she stops and falls silent. ""Why did I-""

Then, directly and curiously, ""The Gates are musical too?""","SierraGatesAgree:""It seems so, yes.""
SierraGatesDisagree:""You bring up music a lot. It's probably nothing.""",
SierraThoughtsGateUsedAgree,DialogOptionSelected,$option == SierraGatesAgree,"SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""I suppose it makes sense,\"""" ""\""To sing and transcend dimensional barriers is a gift I can proudly share with the Gates that once spread humanity across the stars.\""""
$global.sotf_kindred = kindred
$global.sotf_Kindred = Kindred
FireAll SierraConvOptions","""I suppose it makes sense,"" she replies. ""To sing and transcend dimensional barriers is a gift I can proudly share with the Gates that once spread humanity across the stars.""",,
SierraThoughtsGateUsedDisagree,DialogOptionSelected,$option == SierraGatesDisagree,"SetTextHighlightColors sierraTextColor
SetTextHighlights ""\""Mmm, that checks out,\"""" ""\""Songs pervade all of reality. It's only natural to find them everywhere, and maybe places they aren't really there.\""""
FireAll SierraConvOptions","""Mmm, that checks out,"" she agrees. ""Songs pervade all of reality. It's only natural to find them everywhere, and maybe places they aren't really there.""",,
,,,,,,
#SierraThoughtsMyrianous,SierraConvPicker,"$global.sierraWitnessedMyrianous score:20
!$global.sierraMentionedMyrianous",,,,
,,,,,,
#SierraThoughtsMyrianous2,SierraConvPicker,"$global.sierraMyrianousMCed score:25
$global.sierraWitnessedMyrianous
!$global.sierraMentionedMyrianous",,,,
,,,,,,
# SIERRA: SHIPS,,,,,,
SierraThoughtsHaveZig,SierrasThoughts,"PlayerFleetHasShipWithBaseHull ziggurat
!$global.sierraMentionedHaveZig","SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""So, um,\"""" ""\""It's ours now. The Ziggurat, the Xenorphica, the instrument to call which lies beyond.\"""" ""\""I feel a little uneasy with it around, but it's best it's ours, not in the hands of...\"""" ""\""Why didn't we find anyone on board a ship that demands a skeleton crew of three hundred?\""""
$global.sierraMentionedHaveZig = true","""So, um,"" she hesitates. ""It's ours now. The Ziggurat, the Xenorphica, the instrument to call which lies beyond.""

""I feel a little uneasy with it around, but it's best it's ours, not in the hands of...""

She stops dead. ""Why didn't we find anyone on board a ship that demands a skeleton crew of three hundred?""","SierraHaveZigAutomated:""It could have been now-inoperable automated systems.""
SierraHaveZigGhosts:""It could have been a ghost.""",
SierraThoughtsHZAuto,DialogOptionSelected,$option == SierraHaveZigAutomated,"SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Yeah, that's probably it. Some kind of... advanced automation thing - like what flies the Remnants, but smaller.\"""" ""\""It... it could have gotten busted during the fight just like the... mote attractor.\"""" ""\""Giving things a nice and reasonable explanation always helps keep it calm, right?\""""","She spins quickly, then slows to a halt. ""Yeah, that's probably it. Some kind of... advanced automation thing - like what flies the Remnants, but smaller."" 

""It... it could have gotten busted during the fight just like the... mote attractor.""

A single jitter. ""Giving things a nice and reasonable explanation always helps keep it calm, right?"" she affirms confidently.","SierraBack:""Right.""",
SierraThoughtsHZGhost,DialogOptionSelected,$option == SierraHaveZigGhosts,"SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Ghosts, ghosts. Tri-Tachyon surely had a crew for their experiments...\"""" ""\""Maybe something of them still clung to our realm - or was kept there by force.\"""" ""\""Better we laid them to rest, then, and took the Ziggurat - it's us who know best what to do with it.\""""
$global.sotf_kindred = kindred
$global.sotf_Kindred = Kindred","She quickly spins. ""Ghosts, ghosts. Tri-Tachyon surely had a crew for their experiments..."" She sighs. ""Maybe something of them still clung to our realm - or was kept there by force.""

""Better we laid them to rest, then, and took the Ziggurat - it's us who know best what to do with it.""","SierraBack:""Exactly.""",
SierraThoughtsExcelsior,SierrasThoughts,"PlayerFleetHasShipWithBaseHull swp_excelsior
!$global.sierraMentionedExcelsior","SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Excelsior!\"""" ""\""A profound name for a majestic vessel - never mind the exposed wiring.\"""" ""\""In the heart of danger and the most deadly fray is where it finds its true potential. Shunt, blast, phase! An elegant dance much like my own.\"""" ""\""Exotic phase systems are always a delight,\"""" ""\""And the Excelsior is a favorite.\""""
$global.sierraMentionedExcelsior = true","""Excelsior!"" Sierra cries excitedly. ""A profound name for a majestic vessel - never mind the exposed wiring.""

Her avatar twirls. ""In the heart of danger and the most deadly fray is where it finds its true potential. Shunt, blast, phase! An elegant dance much like my own.""

""Exotic phase systems are always a delight,"" she beams. ""And the Excelsior is a favorite.""",,
SierraThoughtsExcession,SierrasThoughts,"PlayerFleetHasShipWithBaseHull apex_excession
!$global.sierraMentionedExcession","SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""The Excession is quite a peculiar thing,\"""" ""\""Exploiting hyperspace for a phase system, deleting matter from reality at one's whim. Reckless, but exciting.\""""
$global.sierraMentionedExcession = true","Sierra hums. ""The Excession is quite a peculiar thing,"" she notes. ""Exploiting hyperspace for a phase system, deleting matter from reality at one's whim. Reckless, but exciting!""",,
,,,,,,
# SIERRA: FACTIONS FOUGHT,,,,,,
SierraThoughtsFoughtDerelict,SierrasThoughts,"$global.sierraFactionFought == derelict
!$global.sierraMentionedFightDerelict","$global.sierraMentionedFightDerelict = true
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""Sometimes I feel bad for the Explorarium drones we fight,\"""" ""\They're just big metal boxes with guns strapped onto them. It's not really fair, is it?\"""" ""\""They do make for outstanding target practice, though.\""""","""Sometimes I feel bad for the Explorarium drones we fight,"" Sierra mourns. ""They're just big metal boxes with guns strapped onto them. It's not really fair, is it?""

Her voice picks up. ""They do make for outstanding target practice, though.""",,
SierraThoughtsFoughtHeg,SierrasThoughts,"$global.sierraFactionFought == hegemony
!$global.sierraMentionedFightHeg","$global.sierraMentionedFightHeg = true
SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""Domain-era regulate THIS!\"""" ""\Sorry. Fighting the Hegemony gives me memories of old times. We've never been on the best of terms because of... you know.\""""","""Domain-era regulate THIS!"" Sierra yips triumphantly. She falls silent a moment, and her avatar blinks slowly. ""Sorry. Fighting the Hegemony gives me memories of old times. We've never been on the best of terms because of... you know.""",,
SierraThoughtsFoughtChurch,SierrasThoughts,"$global.sierraFactionFought == luddic_church
!$global.sierraMentionedFightChurch","$global.sierraMentionedFightChurch = true
SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""The Luddic Church,\"""" ""\Such an admirable mission, but clouded by their faith's blindness - the only reason we need be enemies.\""""","""The Luddic Church,"" she whispers. ""Such an admirable mission, but clouded by their faith's blindness - the only reason we need be enemies.""",,
SierraThoughtsFoughtPath,SierrasThoughts,"$global.sierraFactionFought == luddic_path
!$global.sierraMentionedFightPath","$global.sierraMentionedFightPath = true
SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""Pathers,\"""" ""\I hate them, and they hate me. Faith should be a tool of togetherness, not of wrath, and with their record, I'm more than okay with being their terrible void-daemon.\""""","""Pathers,"" she announces. ""I hate them, and they hate me. Faith should be a tool of togetherness, not of wrath, and with their record, I'm more than okay with being their terrible void-daemon.""",,
SierraThoughtsFoughtLeague,SierrasThoughts,"$global.sierraFactionFought == persean
!$global.sierraMentionedFightLeague","$global.sierraMentionedFightLeague = true
SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""Oh, the Persean League,\"""" ""\Such a shame for the peoples of the Sector to be both freed by unity and chained by Kazeron's will.\""""","""Oh, the Persean League,"" Sierra tuts. ""Such a shame for the peoples of the Sector to be both freed by unity and chained by Kazeron's will.""",,
SierraThoughtsFoughtPirates,SierrasThoughts,"$global.sierraFactionFought == pirates
!$global.sierraMentionedFightPirates","$global.sierraMentionedFightPirates = true
SetTextHighlightColors sierraTextColor sierraTextColor
SetTextHighlights ""\""Pirates, pirates,\"""" ""\It's always pirates, or deserters, or scavengers, causing trouble everywhere we go. A true \""free captain\"" doesn't murder and pillage to their heart's content.\""""","""Pirates, pirates,"" Sierra chants disapprovingly. ""It's always pirates, or deserters, or scavengers, causing trouble everywhere we go. A true ""free captain"" doesn't murder and pillage to their heart's content.""",,
SierraThoughtsFoughtRemnant,SierrasThoughts,"$global.sierraFactionFought == remnant
!$global.sierraMentionedFightRemnant","$global.sierraMentionedFightRemnant = true
SetTextHighlightColors sierraTextColor sierraTextColor sierraTextColor
SetTextHighlights ""\""More shattered shards of Tri-Tachyon's AI horde. Whatever they're up to, it's no good, and it feels great to put them in their place.\"""" ""\Nice ships, though,\"""" ""\Good baseline.\""""","Sierra's avatar twirls. ""More shattered shards of Tri-Tachyon's AI horde. Whatever they're up to, it's no good, and it feels great to put them in their place.""

""Nice ships, though,"" she notes quietly. ""Good baseline.""",,
